,X,Y,sin(month),sin(day),log(FFMC),DMC,log(DC),log(ISI),temp,log(RH),wind,log(rain),log(area)
0,7,5,0.1411200080598672,-0.9589242746631385,4.468204330914934,26.2,4.557029810660157,1.8082887711792655,8.2,3.9512437185814275,6.7,0.0,0.0
1,7,4,-0.5440211108893698,0.9092974268256817,4.517431271680085,35.4,6.507426954979125,2.0412203288596382,18.0,3.5263605246161616,0.9,0.0,0.0
2,7,4,-0.5440211108893698,-0.27941549819892586,4.517431271680085,43.7,6.533643478531968,2.0412203288596382,14.6,3.5263605246161616,1.3,0.0,0.0
3,8,6,0.1411200080598672,-0.9589242746631385,4.529368472571809,33.3,4.363098624788363,2.302585092994046,8.3,4.584967478670572,4.0,0.18232155679395465,0.0
4,8,6,0.1411200080598672,0.6569865987187891,4.5031374604229395,51.3,4.636668853047462,2.3608540011180215,11.4,4.605170185988092,1.8,0.0,0.0
5,8,6,0.9893582466233818,0.6569865987187891,4.535820107853298,85.3,6.192362489474872,2.7536607123542622,22.2,3.4011973816621555,5.4,0.0,0.0
6,8,6,0.9893582466233818,0.8414709848078965,4.535820107853298,88.9,6.207784873074067,2.2512917986064953,24.1,3.332204510175204,3.1,0.0,0.0
7,8,6,0.9893582466233818,0.8414709848078965,4.52720864451838,145.4,6.412146621021007,2.4595888418037104,8.0,4.465908118654584,2.2,0.0,0.0
8,8,6,0.4121184852417566,0.9092974268256817,4.5217885770490405,129.5,6.541895425466332,2.0794415416798357,13.1,4.1588830833596715,5.4,0.0,0.0
9,7,5,0.4121184852417566,-0.27941549819892586,4.537961436294641,88.0,6.550508743144447,2.0918640616783932,22.8,3.713572066704308,4.0,0.0,0.0
10,7,5,0.4121184852417566,-0.27941549819892586,4.537961436294641,88.0,6.550508743144447,2.0918640616783932,17.8,3.9512437185814275,7.2,0.0,0.0
11,7,5,0.4121184852417566,-0.27941549819892586,4.541164856012179,73.2,6.570882962339584,3.1612467120315646,19.3,3.6635616461296463,4.0,0.0,0.0
12,6,5,0.9893582466233818,-0.9589242746631385,4.1666652238017265,70.8,6.501740019568492,0.5877866649021191,17.0,4.290459441148391,6.7,0.0,0.0
13,6,5,0.4121184852417566,0.8414709848078965,4.520701029361642,126.5,6.533061829540727,2.0794415416798357,21.3,3.7612001156935624,2.2,0.0,0.0
14,6,5,0.4121184852417566,0.1411200080598672,4.542230386214217,133.3,6.551937110763387,2.322387720290225,26.4,3.091042453358316,4.5,0.0,0.0
15,6,5,0.4121184852417566,-0.9589242746631385,4.546481189639412,141.2,6.572142672772806,2.7013612129514133,22.9,3.8066624897703196,5.4,0.0,0.0
16,5,5,0.1411200080598672,-0.27941549819892586,4.529368472571809,35.8,4.404277243608702,2.174751721484161,15.1,3.332204510175204,5.4,0.0,0.0
17,8,5,-0.5440211108893698,0.8414709848078965,4.45318382899021,32.8,6.500087747318773,1.3862943611198906,16.7,3.871201010907891,4.9,0.0,0.0
18,6,4,0.1411200080598672,0.1411200080598672,4.502029427068578,27.9,4.273884476054178,1.9878743481543455,15.9,3.58351893845611,4.0,0.0,0.0
